ticker,security_type,reason,signals
AACT,spac_or_blank_check,name_contains:ACQUISITION CORPORATION,170
AADI,common_stock,profile_fields_present,3
AAM,spac_or_blank_check,name_contains:ACQUISITION CORP,78
AAMI,common_stock,profile_fields_present,76
AAP,common_stock,profile_fields_present,2
AARD,common_stock,profile_fields_present,1
AAT,common_stock,profile_fields_present,27
AAUC,common_stock,profile_fields_present,51
AB,common_stock,profile_fields_present,15
ABAT,common_stock,profile_fields_present,13
ABCL,common_stock,profile_fields_present,13
ABEO,common_stock,profile_fields_present,16
ABG,common_stock,profile_fields_present,6
ABIO,common_stock,profile_fields_present,9
ABL,common_stock,profile_fields_present,11
ABLLL,exchange_traded_debt,name_contains:NOTES,20
ABM,common_stock,profile_fields_present,18
ABOS,common_stock,profile_fields_present,10
ABSI,common_stock,profile_fields_present,11
ABUS,common_stock,profile_fields_present,17
ABX,common_stock,profile_fields_present,18
AC,common_stock,profile_fields_present,6
ACAC,spac_or_blank_check,name_contains:ACQUISITION CORPORATION,50
ACAD,common_stock,profile_fields_present,18
ACBA,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,18
ACCO,common_stock,profile_fields_present,2
ACDC,common_stock,profile_fields_present,4
ACEL,common_stock,profile_fields_present,11
ACFN,common_stock,profile_fields_present,33
ACH,common_stock,profile_fields_present,10
ACHC,common_stock,profile_fields_present,6
ACHL,adr,raw_flag:isAdr,14
ACHR,common_stock,profile_fields_present,11
ACHV,common_stock,profile_fields_present,7
ACIC,common_stock,profile_fields_present,13
ACIU,common_stock,profile_fields_present,1
ACIW,common_stock,profile_fields_present,47
ACLS,common_stock,profile_fields_present,13
ACLX,common_stock,profile_fields_present,46
ACNB,common_stock,profile_fields_present,22
ACNT,common_stock,profile_fields_present,41
ACOG,common_stock,profile_fields_present,4
ACR,common_stock,profile_fields_present,64
ACRS,common_stock,profile_fields_present,11
ACST,common_stock,profile_fields_present,1
ACTG,common_stock,profile_fields_present,23
ACTU,common_stock,profile_fields_present,4
ACTV,etf,is_etf=True,7
ACU,common_stock,profile_fields_present,14
ACVA,common_stock,profile_fields_present,18
AD,common_stock,profile_fields_present,23
ADAC,common_stock,profile_fields_present,20
ADAM,common_stock,profile_fields_present,16
ADAP,adr,raw_flag:isAdr,3
ADD,common_stock,profile_fields_present,2
ADEA,common_stock,profile_fields_present,45
ADMA,common_stock,profile_fields_present,63
ADNT,common_stock,profile_fields_present,9
ADOC,spac_or_blank_check,name_contains:ACQUISITION CORP,2
ADPT,common_stock,profile_fields_present,39
ADRT,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,8
ADSE,common_stock,profile_fields_present,37
ADT,common_stock,profile_fields_present,18
ADTH,common_stock,profile_fields_present,16
ADTN,common_stock,profile_fields_present,34
ADUR,common_stock,profile_fields_present,19
ADUS,common_stock,profile_fields_present,29
ADV,common_stock,profile_fields_present,5
ADVM,common_stock,profile_fields_present,2
AE,common_stock,profile_fields_present,13
AEC,common_stock,profile_fields_present,14
AEHR,common_stock,profile_fields_present,32
AEL,common_stock,profile_fields_present,8
AEMB,etf,is_etf=True,12
AENT,common_stock,profile_fields_present,17
AEO,common_stock,profile_fields_present,23
AESI,common_stock,profile_fields_present,18
AEVA,common_stock,profile_fields_present,30
AEYE,common_stock,profile_fields_present,27
AFBI,common_stock,profile_fields_present,36
AFCG,common_stock,profile_fields_present,12
AFGB,common_stock,profile_fields_present,3
AFGC,common_stock,profile_fields_present,1
AFGD,common_stock,profile_fields_present,12
AFGE,common_stock,profile_fields_present,7
AFRI,common_stock,profile_fields_present,5
AFT,mutual_fund,raw_flag:isFund,22
AFTY,etf,is_etf=True,3
AFYA,common_stock,profile_fields_present,2
AGAE,common_stock,profile_fields_present,11
AGBA,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,4
AGCC,common_stock,profile_fields_present,10
AGFY,common_stock,profile_fields_present,3
AGIH,etf,is_etf=True,16
AGIO,common_stock,profile_fields_present,14
AGL,common_stock,profile_fields_present,11
AGM,common_stock,profile_fields_present,9
AGO,common_stock,profile_fields_present,18
